#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1280 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:129 out:130 type:b dur:2 cpbdur:2 q:41.94 aq:43.71 tex:7998 mv:6072 misc:2050 imb:94 pmb:548 smb:2958 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:41.66 aq:38.79 tex:64559 mv:18180 misc:2677 imb:1499 pmb:1015 smb:1086 d:- ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:41.76 aq:41.96 tex:21658 mv:13923 misc:3051 imb:388 pmb:1059 smb:2153 d:- ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:41.82 aq:42.23 tex:11365 mv:8945 misc:2490 imb:238 pmb:675 smb:2687 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:41.71 aq:42.23 tex:11317 mv:9622 misc:2285 imb:245 pmb:660 smb:2695 d:- ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:41.50 aq:38.58 tex:54038 mv:17120 misc:2746 imb:1583 pmb:858 smb:1159 d:- ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:41.58 aq:40.88 tex:20750 mv:14302 misc:2820 imb:477 pmb:880 smb:2243 d:- ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:41.62 aq:42.18 tex:10912 mv:8451 misc:2389 imb:133 pmb:768 smb:2699 d:- ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:41.54 aq:41.56 tex:11239 mv:9966 misc:2355 imb:246 pmb:678 smb:2676 d:- ref:0 ;
in:142 out:139 type:P dur:2 cpbdur:2 q:41.38 aq:38.49 tex:46178 mv:16369 misc:2557 imb:1720 pmb:744 smb:1136 d:- ref:0 ;
in:140 out:140 type:B dur:2 cpbdur:2 q:41.44 aq:39.66 tex:20641 mv:14794 misc:2973 imb:496 pmb:954 smb:2150 d:- ref:0 ;
in:139 out:141 type:b dur:2 cpbdur:2 q:41.47 aq:40.14 tex:12809 mv:11498 misc:2725 imb:321 pmb:825 smb:2454 d:- ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:41.41 aq:41.57 tex:13300 mv:10698 misc:2666 imb:235 pmb:823 smb:2542 d:- ref:0 ;
in:146 out:143 type:P dur:2 cpbdur:2 q:41.24 aq:37.70 tex:52504 mv:16822 misc:2602 imb:1823 pmb:643 smb:1134 d:- ref:0 ;
